page,sexo,apostila,aposentou,faleceu
665,M,TRUE,FALSE,FALSE
666,M,TRUE,TRUE,FALSE
667,M,TRUE,TRUE,FALSE
668,M,TRUE,FALSE,FALSE
669,M,TRUE,FALSE,TRUE
670,M,TRUE,FALSE,FALSE
671,F,TRUE,TRUE,FALSE
672,M,TRUE,FALSE,TRUE
673,M,TRUE,TRUE,TRUE
674,M,TRUE,TRUE,FALSE
675,M,TRUE,FALSE,FALSE
676,M,TRUE,FALSE,FALSE
677,M,TRUE,TRUE,FALSE
678,M,TRUE,FALSE,FALSE
679,M,TRUE,TRUE,FALSE
680,M,TRUE,FALSE,FALSE
681,M,TRUE,TRUE,FALSE
682,M,TRUE,TRUE,FALSE
683,M,TRUE,TRUE,FALSE
684,M,TRUE,TRUE,FALSE
685,M,TRUE,FALSE,FALSE
686,M,TRUE,TRUE,FALSE
687,M,TRUE,FALSE,FALSE
688,M,TRUE,TRUE,FALSE
689,M,TRUE,FALSE,FALSE
690,M,TRUE,TRUE,FALSE
691,M,TRUE,TRUE,FALSE
692,M,TRUE,TRUE,TRUE
693,F,TRUE,FALSE,FALSE
694,M,TRUE,TRUE,FALSE
695,M,FALSE,TRUE,FALSE
696,M,TRUE,TRUE,TRUE
697,M,TRUE,FALSE,FALSE
698,M,TRUE,TRUE,TRUE
699,M,TRUE,TRUE,FALSE
700,M,TRUE,FALSE,FALSE
701,M,TRUE,TRUE,FALSE
702,M,TRUE,TRUE,FALSE
703,M,FALSE,TRUE,FALSE
704,M,TRUE,TRUE,FALSE
705,M,TRUE,TRUE,FALSE
706,M,TRUE,TRUE,TRUE
707,M,TRUE,TRUE,FALSE
708,M,TRUE,FALSE,TRUE
709,M,FALSE,TRUE,FALSE
710,M,TRUE,FALSE,FALSE
711,M,TRUE,TRUE,TRUE
712,M,TRUE,TRUE,FALSE
713,M,FALSE,TRUE,FALSE
714,M,TRUE,TRUE,TRUE
715,M,TRUE,TRUE,TRUE
716,M,FALSE,TRUE,FALSE
717,M,TRUE,FALSE,FALSE
718,M,TRUE,TRUE,FALSE
719,M,TRUE,FALSE,FALSE
720,M,TRUE,FALSE,FALSE
721,M,TRUE,FALSE,FALSE
722,M,TRUE,TRUE,FALSE
723,M,TRUE,TRUE,FALSE
724,M,TRUE,FALSE,FALSE
725,M,TRUE,TRUE,TRUE
726,M,TRUE,TRUE,TRUE
727,M,TRUE,TRUE,FALSE
728,M,TRUE,TRUE,FALSE
729,M,TRUE,TRUE,FALSE
730,M,TRUE,TRUE,FALSE
731,M,TRUE,FALSE,FALSE
732,M,TRUE,FALSE,FALSE
733,M,TRUE,FALSE,FALSE
734,M,TRUE,TRUE,FALSE
735,M,TRUE,TRUE,FALSE
